Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC e-PIONEER ENTREPRENEUR FUND,PePEF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,290.86,29.07.2021,Disqualified,33.3,1/3,-5.51,2.79,-8.30,3.29,10.35,-7.06,14.39,12.64,1.75,,,,,,,-0.74,-0.63,0.16,,,,77.90,,22.10,,,42.20,9.80,3.50,,2.90,,18.70,,,,,,,25.20,,40.40,12.30,,,,,,,Alphabet Incorporated - Class A | Tesla Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Meta Platforms Incorporated | Alibaba Group Holding Limited - W,"Communications (40.4%) | Technology (25.2%) | Consumer, Cyclical (12.3%)",11.2,High,Equity Global Global,"ThebenchmarkforPePEFisacompositeof50%DowJonesIndustrialAverage, 30% customised index by S&P Dow Jones Indices, LLC based on the top 30 constituentsoftheS&PBMIAsiaEx-JapanIndex,10%TOPIXCore30Indexand 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC e-AVANTGARDE FOCUS FUND,PeAGFF,Conventional,Equity,United States,Capital Growth,5,Incidental,88.75,27.09.2022,Disqualified,33.3,1/3,0.21,3.62,-3.41,5.16,12.90,-7.74,9.64,8.14,1.50,,,,,,,-0.39,-0.88,0.17,,,61.40,26.80,,11.80,,,12.50,4.00,6.10,,,,4.20,,,,,,24.40,10.10,25.20,16.60,,7.40,,,,,,Public Bank Berhad | Gamuda Berhad | Frontken Corporation Berhad | Malayan Cement Berhad | Sunway Berhad,"Financial (25.2%) | Industrial (24.4%) | Communications (16.6%) | Technology (10.1%) | Consumer, Non-cyclical (7.4%)",8.8,Moderate,Equity Malaysia Domestic,"The benchmark for PeAGFF is acomposite of70% FTSE Bursa MalaysiaKLCI, 20% customised index by S&P Dow Jones Indices, LLC based on the top 30 constituentsoftheS&PBMIAsiaEx-JapanIndexand10%3-MonthKualaLumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC e-ISLAMIC INNOVATIVE TECHNOLOGY FUND,PeISITF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,582.67,25.05.2021,Disqualified,33.3,1/3,2.34,2.69,-0.35,26.19,22.51,3.68,23.30,27.13,-3.83,,,,,,,-0.02,0.22,-0.22,,,,85.10,,14.90,,,46.20,13.60,11.30,,,,5.80,,5.50,,,,,60.20,,22.00,2.90,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Broadcom Incorporated | Microsoft Corporation | Apple Incorporated,"Technology (60.2%) | Communications (22.0%) | Consumer, Cyclical (2.9%)",17.1,Very High,Equity Sector Global,"The benchmark for PeISITF is a composite of 90% S&P Global 1200 Shariah Information Technology (Sector) 10% Capped Index and 10% 1-Month Islamic Interbank Money Market (IIMM) rate. Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PB U.S. EAGLE FUND,PBUSEF,Conventional,Equity,United States,Capital Growth,5,Incidental,174.20,05.01.2021,Disqualified,25.0,1/4,-8.22,-2.00,-6.22,-5.68,-1.87,-3.81,11.40,8.68,2.72,5.20,8.29,-3.09,,,,-0.41,-0.25,0.18,-0.20,,,94.50,,5.50,,,75.40,3.50,8.60,,,,7.00,,,,,,9.60,32.60,9.10,21.90,13.60,,,,,,,Goldman Sachs Group Incorporated | Alphabet Incorporated - Class A | The Coca-Cola Company | Costco Wholesale Corporation | NVIDIA Corporation,"Technology (32.6%) | Communications (21.9%) | Consumer, Cyclical (13.6%) | Industrial (9.6%) | Financial (9.1%)",15.3,Very High,Equity U.S. Global,ThebenchmarkforPBUSEFisacompositeof90%DowJonesIndustrialAverage and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] PB Series Funds.pdf
PUBLIC U.S. EQUITY FUND,PUSEQF,Conventional,Equity,United States,Capital Growth,5,Incidental,145.61,13.11.2018,Disqualified,25.0,1/4,-12.55,-2.00,-10.55,-8.05,-1.87,-6.18,10.12,8.68,1.44,2.56,8.29,-5.73,,,,-0.67,-0.39,0.09,-0.36,,,79.40,,20.60,,,61.60,,6.00,,2.50,,3.20,3.70,,,,,13.40,14.90,,26.00,16.00,4.70,,,,,,Tesla Incorporated | Meta Platforms Incorporated | HD Hyundai Electric Company Limited | Alphabet Incorporated - Class A | NVIDIA Corporation,"Communications (26.0%) | Consumer, Cyclical (16.0%) | Technology (14.9%) | Industrial (13.4%) | Consumer, Non-cyclical (4.7%)",15.8,Very High,Global,ThebenchmarkforPUSEQFisacompositeof90%DowJonesIndustrialAverage and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] Public Series Funds.pdf
PUBLIC e-ARTIFICIAL INTELLIGENCE TECHNOLOGY FUND,PeAITF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,2089.57,18.08.2020,Disqualified,25.0,1/4,-4.64,-4.38,-0.26,15.23,11.81,3.42,24.48,24.65,-0.17,8.96,14.65,-5.69,,,,-0.01,0.16,-0.01,-0.26,,,91.20,,8.80,,,61.00,6.60,8.00,,,,4.40,,5.90,,,,3.40,55.30,1.70,26.70,4.10,,,,,,,Alphabet Incorporated - Class A | Meta Platforms Incorporated | NVIDIA Corporation | Advanced Micro Devices Incorporated | Broadcom Incorporated,"Technology (55.3%) | Communications (26.7%) | Consumer, Cyclical (4.1%) | Industrial (3.4%) | Financial (1.7%)",22.0,Very High,Equity Sector Global,"The benchmark for PeAITF is a composite of 50% STOXX Global Artificial IntelligenceIndex,40%S&PGlobal1200InformationTechnologyIndexand10%3- Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PB GLOBAL OPPORTUNITIES FUND,PBGOPF,Conventional,Equity,Global,Capital Growth,5,Incidental,45.64,22.08.2019,Disqualified,25.0,1/4,-1.16,3.15,-4.31,7.95,4.46,3.49,4.90,5.62,-0.72,0.85,5.14,-4.29,,,,-0.36,0.29,-0.06,-0.36,,10.40,81.80,,7.80,,,42.00,,,5.80,,25.40,,5.80,,,,1.40,23.70,,16.30,,2.50,,,1.50,,,46.90,iShares STOXX Europe Small 200 UCITS ETF (DE) | iShares STOXX Europe Mid 200 UCITS ETF (DE) | HEICO Corporation | SoFi Technologies Incorporated | iShares Core S&P Small-Cap ETF,"ETF (46.9%) | Industrial (23.7%) | Financial (16.3%) | Consumer, Cyclical (2.5%) | Energy (1.5%)",12.0,High,Equity Global Small & Global,"ThebenchmarkforPBGOPFisacompositeof40%S&PMidCap400Index,30% S&PSmallCap600Index,10%STOXXEuropeMid200Index,10%STOXXEurope Small 200 Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PB ASEAN DIVIDEND SEQUEL FUND,PBADSQF,Conventional,Equity,ASEAN,Income,5,Annual,318.40,18.08.2016,Disqualified,25.0,1/4,9.05,5.88,3.17,10.85,13.84,-2.99,3.19,6.38,-3.19,2.87,6.02,-3.15,,,,0.45,-0.43,-0.46,-0.45,,14.60,81.90,,3.50,,,,6.30,,4.00,,,,38.90,,14.30,,12.60,27.60,6.30,54.20,2.80,3.60,,,,,,,Public Bank Berhad | DBS Group Holdings Limited | Oversea-Chinese Banking Corporation Limited | Delta Electronics (Thailand) Public Company Limited - Foreign | ASPEED Technology Incorporated,"Financial (54.2%) | Industrial (27.6%) | Technology (6.3%) | Consumer, Cyclical (3.6%) | Communications (2.8%)",7.0,Low,Equity ASEAN ASEAN,ThebenchmarkforPBADSQFisacompositeof90%FTSE/ASEAN40Indexand 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] PB Series Funds.pdf
PB ASIA EQUITY FUND,PBAEF,Conventional,Equity,Asia,Capital Growth,5,Incidental,165.06,27.06.2006,Disqualified,20.0,1/5,15.05,13.07,1.98,30.81,33.47,-2.66,15.87,16.10,-0.23,3.17,4.85,-1.68,7.79,8.19,-0.40,0.14,-0.18,-0.02,-0.12,-0.03,2.20,80.30,,17.50,,,4.00,19.30,33.60,9.20,,,13.00,,,,,,22.10,36.90,4.20,14.90,4.40,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | SK Hynix Incorporated | Hanwha Aerospace Company Limited,"Technology (36.9%) | Industrial (22.1%) | Communications (14.9%) | Consumer, Cyclical (4.4%) | Financial (4.2%)",14.6,Very High,Equity Asia Pacific Asia,"2016 1.50 30.06.16 6.0 ThebenchmarkforPBAEFisacompositeof20%KualaLumpurCompositeIndex (priorto6July2009), 20%FTSE BursaMalaysiaKLCI(w.e.f.6July2009),20% 2017 1.50 30.06.17 4.9 TokyoStockPriceIndex(priorto30April2013),20%TOPIXCore30Index(w.e.f. 2018 1.50 29.06.18 5.3 30April 2013),20% KoreaCompositeStock PriceIndex(priorto30April2013), 2019 1.00 28.06.19 3.7 20%KOSPI50Index(30April2013to29April2017),20%MSCIKoreaLargeCap Index (30 April 2017 to 29 April 2021), 20% S&P Korea LargeCap Index (w.e.f. 2020 1.75 30.06.20 6.0 30April2021)and40%MSCIGoldenDragonIndex(priorto30April2021),40% 2021 1.75 30.06.21 5.1 S&P Greater China LargeMidCap Index (30 April 2021 to 1 January2025), 40% S&P Greater China LargeMidCap 8% Capped Index (w.e.f. 2 January 2025). Note: Distribution yield simply measures the level of distributions and is not a measure of fund performance. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC FAR-EAST DIVIDEND FUND,PFEDF,Conventional,Equity,Asia Pacific,Income,5,Annual,229.04,28.11.2006,Disqualified,20.0,1/5,2.45,12.95,-10.50,9.32,22.81,-13.49,12.44,14.94,-2.50,7.02,8.29,-1.27,7.60,6.65,0.95,-0.95,-1.22,-0.23,-0.11,0.09,7.70,74.30,,18.00,,,,32.00,1.20,,,,3.80,4.80,,,,,4.10,27.90,28.30,19.90,1.80,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | MediaTek Incorporated | China Construction Bank Corporation - H Shares | Oversea-Chinese Banking Corporation Limited | Quanta Computer Incorporated,"Financial (28.3%) | Technology (27.9%) | Communications (19.9%) | Industrial (4.1%) | Consumer, Cyclical (1.8%)",11.1,High,Asia,"The benchmark for PFEDF is a composite of 70% MSCIAC Far-EastEx-Japan Index(prior to 30 April 2010) and 30% Kuala Lumpur Composite Index (prior to 6 July 2009), 30% FTSE Bursa Malaysia KLCI (6 July 2009 to 29 April 2010). 90% MSCI AC Far-East Ex-Japan Index (30 April 2010 to 29 April 2013), 90% MSCI ACFar-EastEx-JapanHighDividendYieldIndex(30April2013to29April2021), 90% DowJonesAsia SelectDividend 100Index(w.e.f.30 April 2021) and10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR) (w.e.f. 30 April 2010). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC AUSTRALIA EQUITY FUND,PAUEF,Conventional,Equity,Australia,Capital Growth,5,Incidental,285.48,08.09.2009,Disqualified,20.0,1/5,8.79,8.16,0.63,10.36,12.47,-2.11,2.52,5.11,-2.59,3.54,4.05,-0.51,5.32,5.69,-0.37,0.05,-0.17,-0.21,-0.04,-0.03,,87.10,,12.90,,,,,,,,,,,2.00,,85.10,,,,39.80,3.80,9.70,2.20,,,27.60,,,Commonwealth Bank of Australia | National Australia Bank Limited | BHP Group Limited | Lynas Rare Earths Limited | Rio Tinto Limited,"Financial (39.8%) | Basic Materials (27.6%) | Consumer, Cyclical (9.7%) | Communications (3.8%) | Consumer, Non-cyclical (2.2%)",12.3,High,Equity Australia Global,,[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC REGIONAL ESG FUND,PIRESGF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,194.19,07.11.2023,Disqualified,0.0,0/2,19.19,20.02,-0.83,40.10,40.79,-0.69,,,,,,,,,,,,,,,,83.90,,16.10,,,7.90,23.60,29.70,14.70,,,8.00,,,,,,23.40,38.10,,19.10,3.30,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | HD Hyundai Electric Company Limited | Samsung Electronics Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W,"Technology (38.1%) | Industrial (23.4%) | Communications (19.1%) | Consumer, Cyclical (3.3%)",,,,"ThebenchmarkforPIRESGFisacustomisedindexbyS&PDowJonesIndices, LLCbasedonconstituentsoftheS&PGlobalLargeMidCapESGShariahIndex comprisingJapan,China‘H’Shares,HongKong,Taiwan,SouthKorea,Malaysia, Singapore, Thailand, Indonesia & Philippines. Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB SUSTAINABLE GROWTH FUND,PBSTGRF,Conventional,Equity,Malaysia,Capital Growth,4,Incidental,307.96,05.09.2023,Disqualified,0.0,0/2,2.27,2.60,-0.33,5.43,7.18,-1.75,,,,,,,,,,,,,,,69.20,25.70,,5.10,,,11.80,9.40,,,,,4.50,,,,,,10.50,12.40,30.90,19.00,,,10.90,,,,,Tenaga Nasional Berhad | Public Bank Berhad | Malayan Banking Berhad | Taiwan Semiconductor Manufacturing Company Limited | Sunway Berhad,Financial (30.9%) | Communications (19.0%) | Technology (12.4%) | Utilities (10.9%) | Industrial (10.5%),,,Equity Malaysia,Index data are sourced from Lipper.,[MFR FEB26] PB Series Funds.pdf
PUBLIC e-ISLAMIC PIONEER ENTREPRENEUR 40 FUND,PeIPE40F,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,584.31,21.04.2021,Disqualified,0.0,0/3,-6.20,3.75,-9.95,0.17,17.35,-17.18,16.63,17.01,-0.38,,,,,,,-0.56,-0.96,-0.02,,,,81.10,,18.90,,,51.90,9.70,,2.30,,,10.50,3.10,,,,,3.00,29.20,,37.80,11.10,,,,,,,Alphabet Incorporated - Class A | Taiwan Semiconductor Manufacturing Company Limited | Tesla Incorporated | Alibaba Group Holding Limited - W | Meta Platforms Incorporated,"Communications (37.8%) | Technology (29.2%) | Consumer, Cyclical (11.1%) | Industrial (3.0%)",17.9,Very High,Equity Global Global,"ThebenchmarkforPeIPE40Fisacompositeof50%S&PUnitedStatesLargeCap Shariah Index, 30% customised index by S&P Dow Jones Indices, LLC based on top 100 constituents bymarket capitalisationof theS&P ShariahBMIAsiaEx-Japan Index, 10% customised index byS&P DowJones Indices, LLC based on top 20 constituentsbymarketcapitalisationoftheS&PBMIShariahJapanIndexand10% 1-Month Islamic Interbank Money Market (IIMM) rate. Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PB ASIA CONSUMER SECTOR FUND,PBACSF,Conventional,Equity,Asia,Capital Growth,5,Incidental,96.33,03.01.2019,Disqualified,0.0,0/4,2.21,10.52,-8.31,-3.28,6.84,-10.12,-1.39,-0.85,-0.54,-5.81,-5.18,-0.63,,,,-0.58,-0.70,-0.04,-0.04,,,83.20,,16.80,,,4.40,,33.30,,4.50,,8.50,,,,,,,16.40,,21.40,34.80,10.60,,,,,,Samsung Electronics Company Limited | Hyundai Mobis Company Limited | Alibaba Group Holding Limited - W | MGM China Holdings Limited | Tencent Holdings Limited,"Consumer, Cyclical (34.8%) | Communications (21.4%) | Technology (16.4%) | Consumer, Non-cyclical (10.6%)",14.4,Very High,Equity Sector Consumer Asia,"ThebenchmarkforPBACSFisacustomisedindexbyS&PDowJonesIndices,LLC based on consumer sectors of S&P BMI Asia Ex-Japan Index. Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC FAR-EAST SELECT FUND,PFES,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,807.71,22.11.2005,Disqualified,0.0,0/5,9.96,11.86,-1.90,24.82,28.70,-3.88,14.19,15.08,-0.89,1.43,2.16,-0.73,6.53,7.72,-1.19,-0.11,-0.23,-0.05,-0.04,-0.07,1.00,91.80,,7.20,,,,28.30,28.00,,,,34.70,,,,,0.80,11.80,46.40,5.20,22.20,6.70,,,,,,,Samsung Electronics Company Limited | SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited,"Technology (46.4%) | Communications (22.2%) | Industrial (11.8%) | Consumer, Cyclical (6.7%) | Financial (5.2%)",17.2,Very High,Equity Asia Pacific Asia,"2021 0.80 31.5.21 2.1 ThebenchmarkforPFESisacompositeof70%MSCIACFar-EastEx-JapanIndex 2022 0.80 31.5.22 2.7 and30%KualaLumpurCompositeIndex(priorto6July2009),30%FTSEBursa Malaysia KLCI (6 July 2009 to 29 April 2010). Note: Distribution yield simply measures the level of distributions and is MSCIACFar-EastEx-JapanIndex(30April2010to29April2021),S&PPanAsia not a measure of fund performance. Ex-Japan, Australia, New Zealand & India LargeCap Index (30 April 2021 to 1 January 2025), S&P Pan Asia Ex-Japan, Australia, New Zealand & India LargeCap 8% Capped Index (w.e.f. 2 January 2025). UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC ISLAMIC GLOBAL EQUITY FUND,PISGEF,Shariah,Equity,Global,Capital Growth,5,Incidental,1028.17,26.09.2017,Disqualified,0.0,0/4,-6.51,-0.52,-5.99,2.04,7.19,-5.15,13.59,14.63,-1.04,7.40,10.32,-2.92,,,,-0.40,-0.35,-0.07,-0.20,,,92.70,,7.30,,,66.20,5.10,,,5.70,,5.50,,5.50,,,,14.50,35.30,,30.30,10.60,2.00,,,,,,HEICO Corporation | Alphabet Incorporated - Class A | Meta Platforms Incorporated | Apple Incorporated | Amazon.com Incorporated,"Technology (35.3%) | Communications (30.3%) | Industrial (14.5%) | Consumer, Cyclical (10.6%) | Consumer, Non-cyclical (2.0%)",14.9,Very High,Equity Global Global,ThebenchmarkforPISGEFisacompositeof90%S&PGlobal1200ShariahIndex and 10% 1-Month Islamic Interbank Money Market (IIMM) rate. Underlying index data are sourced from Lipper and Bank Negara Malaysia and expressed in Ringgit terms.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PUBLIC LIFESTYLE & TECHNOLOGY FUND,PLTF,Conventional,Equity,Malaysia,Capital Growth,5,Incidental,671.68,08.08.2018,Disqualified,0.0,0/4,-3.95,5.95,-9.90,5.73,18.77,-13.04,18.87,20.11,-1.24,5.09,10.07,-4.98,,,,-0.60,-0.80,-0.08,-0.30,,,88.00,,12.00,,,45.00,12.70,9.00,,,,10.00,4.20,,,,,,44.80,1.50,26.50,15.20,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Tesla Incorporated | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Alphabet Incorporated - Class A,"Technology (44.8%) | Communications (26.5%) | Consumer, Cyclical (15.2%) | Financial (1.5%)",16.4,Very High,Equity Global Global,"ThebenchmarkforPLTFisacustomisedindexbyS&PDowJonesIndices,LLC based on theconstituents within the ConsumerDiscretionary, ConsumerStaples andInformationTechnologysectorsoftheS&PGlobalBMIIndexwhichcomprise majorstocksfromkeyglobalmarketsincludingUnitedStatesofAmerica,Europe and Asia. Underlying index data are sourced from S&P Dow Jones Indices, LLC and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PB ASIA PACIFIC ENTERPRISES FUND,PBAPENTF,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,57.98,08.03.2011,Disqualified,0.0,0/5,6.40,12.77,-6.37,10.42,26.86,-16.44,10.97,13.03,-2.06,2.29,4.21,-1.92,7.97,8.12,-0.15,-0.44,-1.14,-0.14,-0.13,-0.01,0.90,89.90,,9.20,,,6.40,20.10,23.50,,,,30.90,3.60,,,,,4.00,42.50,11.30,25.70,5.30,,,,,,,Samsung Electronics Company Limited | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited | SK Hynix Incorporated,"Technology (42.5%) | Communications (25.7%) | Financial (11.3%) | Consumer, Cyclical (5.3%) | Industrial (4.0%)",14.4,Very High,Equity Asia Pacific ex- Asia,"2019 1.00 31.12.19 3.0 Thebenchmark forPBAPENTF isacompositeof55% S&P Asia50 Index,30% 2020 1.00 31.12.20 2.5 S&P Southeast Asia 40 Index and 15% S&P/ASX 20 Index. UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper 2021 2.00 31.12.21 5.5 and expressed in Ringgit terms. 2022 0.50 30.12.22 1.6 Note: Distribution yield simply measures the level of distributions and is not a",[MFR FEB26] PB Series Funds.pdf
PUBLIC GLOBAL SELECT FUND,PGSF,Conventional,Equity,Global,Capital Growth,5,Incidental,3959.20,28.09.2006,Disqualified,0.0,0/5,-3.95,-0.75,-3.20,1.71,6.39,-4.68,11.04,13.24,-2.20,5.71,8.83,-3.12,9.45,9.66,-0.21,-0.21,-0.30,-0.14,-0.20,-0.01,1.10,75.00,,23.90,,,37.90,9.70,13.90,,,,10.90,,1.60,,,,7.20,37.70,1.10,25.50,4.60,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Alibaba Group Holding Limited - W | NVIDIA Corporation | SK Hynix Incorporated,"Technology (37.7%) | Communications (25.5%) | Industrial (7.2%) | Consumer, Cyclical (4.6%) | Financial (1.1%)",15.5,Very High,Equity Global Global,"2019 0.50 31.5.19 1.6 Thebenchmark forPGSFis a compositeof 90% MSCI All CountryWorldIndex 2020 2.00 29.5.20 5.6 (priorto30April2021),90%S&PGlobalLargeCapIndex(w.e.f.30April2021)and 10% 1-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). 2021 5.00 31.5.21 12.2 UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLC,Lipperand 2022 4.00 31.5.22 11.4 Bank Negara Malaysia and expressed in Ringgit terms. Note: Distribution yield simply measures the level of distributions and is not a measure of fund performance.",[MFR FEB26] Public Series Funds.pdf
PUBLIC JAPAN GLOBAL EQUITY FUND,PJGEF,Conventional,Equity,Global,Capital Growth,5,Incidental,46.90,03.12.2019,Disqualified,0.0,0/4,1.71,5.42,-3.71,7.32,16.05,-8.73,11.97,14.31,-2.34,2.99,7.19,-4.20,,,,-0.29,-0.68,-0.18,-0.33,,1.00,88.40,,10.60,,,16.60,7.60,7.90,39.30,,,7.70,,,,,,17.00,24.70,11.80,17.60,18.30,,,,,,,Mitsubishi UFJ Financial Group Incorporated | SK Hynix Incorporated | Meta Platforms Incorporated | Shibaura Mechatronics Corporation | Taiwan Semiconductor Manufacturing Company Limited,"Technology (24.7%) | Consumer, Cyclical (18.3%) | Communications (17.6%) | Industrial (17.0%) | Financial (11.8%)",12.9,High,Equity Global Global,,[MFR FEB26] Public Series Funds.pdf
PB GLOBAL EQUITY FUND,PBGEF,Conventional,Equity,Global,Capital Growth,5,Incidental,84.96,07.10.2014,Disqualified,0.0,0/5,-4.37,1.82,-6.19,-3.59,6.84,-10.43,8.56,10.95,-2.39,-0.45,8.41,-8.86,6.68,9.48,-2.80,-0.50,-0.83,-0.19,-0.71,-0.22,1.10,84.40,,14.50,,,50.10,9.40,4.70,,,,7.30,,3.70,,,,8.30,31.30,1.10,31.30,13.50,,,,,,,Alphabet Incorporated - Class A | Meta Platforms Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Tesla Incorporated | Advanced Micro Devices Incorporated,"Technology (31.3%) | Communications (31.3%) | Consumer, Cyclical (13.5%) | Industrial (8.3%) | Financial (1.1%)",12.5,High,Equity Global Global,"ThebenchmarkforPBGEFisacompositeof50%DowJonesIndustrialAverage, 20%STOXXEurope50Index,10%TOPIXCore30Index,10%customisedindex byMSCIbasedonthetop30constituentsofMSCIAC Far-East Ex-JapanIndex (prior to 30 April 2021), 10% customised indexbyS&P DowJones Indices,LLC based on the top 30 constituents of the S&P BMI Asia Ex-Japan Index (w.e.f. 30 April 2021) and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC FAR-EAST ALPHA-30 FUND,PFA30F,Conventional,Equity,Asia Pacific,Capital Growth,5,Incidental,338.55,06.04.2010,Disqualified,0.0,0/5,6.96,9.35,-2.39,19.02,24.76,-5.74,13.74,16.43,-2.69,1.78,2.86,-1.08,8.80,9.22,-0.42,-0.14,-0.33,-0.15,-0.06,-0.02,,92.40,,7.60,,,7.50,21.30,25.00,4.90,,,31.70,,,,,,15.10,38.30,3.90,26.80,8.00,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W | Tencent Holdings Limited,"Technology (38.3%) | Communications (26.8%) | Industrial (15.1%) | Consumer, Cyclical (8.0%) | Financial (3.9%)",17.5,Very High,Equity Asia Pacific Asia,,[MFR FEB26] Public Series Funds.pdf
