Fund Name,Abbr,Series,Fund Type,Geography,Objective,Risk Level,Distribution Policy,Fund Size (RM Mil),Launch Date,Status,Outperform Rate (%),Periods Assessed,YTD Fund (%),YTD Benchmark (%),YTD Alpha,1Y Fund (%),1Y Benchmark (%),1Y Alpha,3Y Fund (%),3Y Benchmark (%),3Y Alpha,5Y Fund (%),5Y Benchmark (%),5Y Alpha,10Y Fund (%),10Y Benchmark (%),10Y Alpha,AE YTD,AE 1Y,AE 3Y,AE 5Y,AE 10Y,Alloc: Domestic Equity,Alloc: Foreign Equity,Alloc: Fixed Income / Sukuk,Alloc: Money Market,Alloc: Deposits,Alloc: Other,Geo: USA,Geo: Taiwan,Geo: Korea,Geo: Japan,Geo: France,Geo: Germany,Geo: China,Geo: Singapore,Geo: Netherlands,Geo: Indonesia,Geo: Australia,Geo: Geo Other,Sector: Industrial,Sector: Technology,Sector: Financial,Sector: Communications,Sector: Consumer Discretionary,Sector: Consumer Staples,Sector: Utilities,Sector: Energy,Sector: Materials,Sector: Real Estate,Sector: Other Sector,Top 5 Holdings,Top 5 Sectors,Volatility Factor,Volatility Class,Lipper Class,Benchmark,Source MFR
PUBLIC HEALTHCARE-GLOBAL EQUITY FUND,PHGEF,Conventional,Equity,Global,Capital Growth,5,Incidental,435.80,20.10.2020,Disqualified,50.0,2/4,-2.57,1.65,-4.22,7.68,5.34,2.34,15.28,8.65,6.63,5.40,5.72,-0.32,,,,-0.39,0.22,0.61,-0.03,,,90.80,,9.20,,,68.30,12.70,2.90,,,,5.70,1.10,,,,,,19.10,,21.80,8.10,4.10,,,,,34.30,Taiwan Semiconductor Manufacturing Company Limited | iShares U.S. Medical Devices ETF | iShares Global Healthcare ETF | State Street Health Care Select Sector SPDR ETF | Tesla Incorporated,"ETF (34.3%) | Communications (21.8%) | Technology (19.1%) | Consumer, Cyclical (8.1%) | Consumer, Non-cyclical (4.1%)",10.8,High,Equity Global Global,,[MFR FEB26] Public Series Funds.pdf
PB VIETNAM GLOBAL 40 FUND,PBVG40F,Conventional,Equity,Global,Capital Growth,5,Incidental,68.46,18.09.2020,Disqualified,50.0,2/4,1.02,2.88,-1.86,17.73,16.71,1.02,17.44,14.28,3.16,5.70,6.80,-1.10,,,,-0.13,0.07,0.23,-0.08,,,85.20,,14.80,,,23.30,12.70,12.30,,,,9.90,,,,,22.90,7.30,28.20,4.50,25.00,,,,,,,14.90,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Meta Platforms Incorporated | DCVFMVN30 ETF | DCVFMVN Diamond ETF,Technology (28.2%) | Communications (25.0%) | ETF (14.9%) | Industrial (7.3%) | Financial (4.5%),14.0,Very High,Equity Global Global,"ThebenchmarkforPBVG40Fisacompositeof35%DowJonesIndustrialAverage, 35% customised index by S&P Dow Jones Indices, LLC based on the top 30 constituents of the S&P BMI Asia Ex-Japan Index, 20% VN30 Index and 10% 3-Month Kuala Lumpur Interbank Offered Rate (KLIBOR). UnderlyingindexdataaresourcedfromLipper,S&PDowJonesIndices,LLCand Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
PUBLIC WORLDWIDE EQUITY FUND,PWEF,Conventional,Equity,Global,Capital Growth,5,Incidental,126.88,30.06.2009,Disqualified,50.0,2/4,-2.41,1.13,-3.54,8.66,4.79,3.87,12.56,9.97,2.59,3.28,9.04,-5.76,,,,-0.22,0.24,0.16,-0.36,,0.70,87.20,,12.10,,,37.70,11.90,10.40,,,,7.70,6.90,,,,,,42.70,3.00,25.70,10.80,3.30,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Samsung Electronics Company Limited | Alibaba Group Holding Limited - W | Tesla Incorporated | Alphabet Incorporated - Class A,"Technology (42.7%) | Communications (25.7%) | Consumer, Cyclical (10.8%) | Consumer, Non-cyclical (3.3%) | Financial (3.0%)",15.8,Very High,Equity Global Global,,[MFR FEB26] Public Series Funds.pdf
PUBLIC e-ISLAMIC SUSTAINABLE MILLENNIAL FUND,PeISMF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,427.82,05.11.2019,Disqualified,50.0,2/4,-4.40,-0.05,-4.35,9.37,8.28,1.09,17.16,15.15,2.01,10.81,10.94,-0.13,,,,-0.30,0.08,0.14,-0.01,,,89.20,,10.80,,,58.10,9.30,,4.20,4.10,,9.50,,,,,,3.00,36.10,,32.60,13.10,3.10,,,,,,Meta Platforms Incorporated | Alibaba Group Holding Limited - W | Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Tesla Incorporated,"Technology (36.1%) | Communications (32.6%) | Consumer, Cyclical (13.1%) | Consumer, Non-cyclical (3.1%) | Industrial (3.0%)",14.3,Very High,Equity Global,"ThebenchmarkforPeISMFisacompositeof90%S&PGlobal1200ESGShariah Index and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC GREATER CHINA FUND,PGCF,Conventional,Equity,Greater China,Capital Growth,5,Incidental,349.68,26.10.2017,Disqualified,50.0,2/4,0.00,3.47,-3.47,6.84,11.24,-4.40,11.87,10.93,0.94,0.17,-0.61,0.78,,,,-0.22,-0.28,0.06,0.05,,,90.20,,9.80,,,13.10,32.70,,,,1.90,1.60,,,,,,13.10,29.30,11.00,30.00,6.80,,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Tencent Holdings Limited | China Construction Bank Corporation - H Shares | Meta Platforms Incorporated,"Communications (30.0%) | Technology (29.3%) | Industrial (13.1%) | Financial (11.0%) | Consumer, Cyclical (6.8%)",15.5,Very High,Greater China,"MSCI Golden Dragon Index (prior to 30 April 2021), S&P Greater China LargeMidCap Index (30 April 2021 to 1 January 2025), S&P Greater China LargeMidCap 8% Capped Index (w.e.f. 2 January 2025). UnderlyingIndexdataaresourcedfromS&PDowJonesIndices,LLCandLipper and expressed in Ringgit terms.",[MFR FEB26] Public Series Funds.pdf
PUBLIC e-ISLAMIC INDIA GLOBAL EQUITY FUND,PeIIGEF,Shariah,Equity,Global,Capital Growth,5,Incidental,344.29,24.09.2024,Disqualified,50.0,1/2,0.77,-0.79,1.56,2.65,8.44,-5.79,,,,,,,,,,,,,,,,94.10,,5.90,,,30.70,9.10,16.20,,,,6.00,,,,,29.40,9.80,39.80,,27.30,5.40,7.00,,,,,,Taiwan Semiconductor Manufacturing Company Limited | Alphabet Incorporated - Class A | Samsung Electronics Company Limited | SK Hynix Incorporated | Alibaba Group Holding Limited - W,"Technology (39.8%) | Communications (27.3%) | Industrial (9.8%) | Consumer, Non-cyclical (7.0%) | Consumer, Cyclical (5.4%)",,,,"ThebenchmarkforPeIIGEFisacompositeof40%S&PIndiaLargeCapShariah 20% Capped Index, 25% S&P United States LargeCap Shariah Index, 25% customisedindexbyS&PDowJonesIndices,LLCbasedontop100constituentsby market capitalisation of the S&P Shariah BMI Asia Ex-Japan Index and 10% 3-Month Islamic Interbank Money Market (IIMM) rate. Underlying indexdata are sourced from S&P Dow Jones Indices, LLC and Bank Negara Malaysia and expressed in Ringgit terms.",[MFR FEB26] Public e-Series Funds.pdf
PUBLIC ISLAMIC ADVANTAGE GROWTH EQUITY FUND,PIAVGEF,Shariah,Equity,Malaysia,Capital Growth,5,Incidental,215.43,08.09.2015,Disqualified,40.0,2/5,-0.24,-0.05,-0.19,5.06,7.63,-2.57,5.62,4.82,0.80,-0.96,-0.48,-0.48,3.46,-0.30,3.76,-0.03,-0.35,0.11,-0.06,0.51,79.80,9.60,,10.60,,,6.20,,,,,,3.40,,,,,,18.80,,18.20,19.80,,19.00,7.60,,,,,Telekom Malaysia Berhad | IHH Healthcare Berhad | Tenaga Nasional Berhad | Gamuda Berhad | QL Resources Berhad,"Communications (19.8%) | Consumer, Non-cyclical (19.0%) | Industrial (18.8%) | Financial (18.2%) | Utilities (7.6%)",7.4,Low,Equity Malaysia Domestic,Index data are sourced from Lipper.,[MFR FEB26] Public Series of Shariah-Based Funds.pdf
PB DIVIDEND BUILDER EQUITY FUND,PBDBEF,Conventional,Equity,Malaysia,Income,4,Annual,49.18,30.06.2015,Disqualified,40.0,2/5,1.09,2.48,-1.39,3.56,7.73,-4.17,7.03,6.31,0.72,0.75,2.09,-1.34,3.58,1.31,2.27,-0.18,-0.55,0.09,-0.18,0.30,77.00,18.70,,4.30,,,13.10,,,,5.60,,,,,,,,12.40,,34.30,14.20,12.70,,11.20,,,,,Tenaga Nasional Berhad | Malayan Banking Berhad | Public Bank Berhad | Alphabet Incorporated - Class A | Hermes International,"Financial (34.3%) | Communications (14.2%) | Consumer, Cyclical (12.7%) | Industrial (12.4%) | Utilities (11.2%)",7.6,Low,Equity Malaysia Income,,[MFR FEB26] PB Series Funds.pdf
PB ISLAMIC ASIA EQUITY FUND,PBIAEF,Conventional,Equity,Asia,Capital Growth,5,Incidental,136.01,08.01.2007,Disqualified,40.0,2/5,12.39,17.15,-4.76,34.90,34.32,0.58,15.32,15.01,0.31,0.77,2.72,-1.95,6.47,7.44,-0.97,-0.31,0.04,0.02,-0.12,-0.06,80.70,4.20,,15.10,,,,30.10,27.80,1.00,,,19.50,,,,,2.30,14.80,38.40,,26.70,0.80,,4.20,,,,,SK Hynix Incorporated | Taiwan Semiconductor Manufacturing Company Limited | Alibaba Group Holding Limited - W | Samsung Electronics Company Limited | Tencent Holdings Limited,"Technology (38.4%) | Communications (26.7%) | Industrial (14.8%) | Utilities (4.2%) | Consumer, Cyclical (0.8%)",15.6,Very High,Equity Asia Pacific Asia,"2016 1.00 30.06.16 4.0 The benchmark for PBIAEF is a composite of 20% Kuala Lumpur Syariah Index (prior to 1 November 2007), 20% FTSE Bursa Malaysia EMAS Shariah Index 2017 1.00 30.06.17 3.4 (1 November 2007 to 29 April 2011), 20% FTSE Bursa Malaysia Hijrah Shariah 2018 1.25 29.06.18 4.3 Index (w.e.f. 30 April 2011) and 80% Dow Jones Islamic Market Asia Ex-Japan 2019 1.00 28.06.19 3.8 IndexSM (prior to 1 January 2009), 80% S&P Shariah BMI Asia Ex-Japan Index (w.e.f. 1 January 2009). 2020 1.00 30.06.20 3.2 UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper 2021 1.50 30.06.21 4.3 and expressed in Ringgit terms. Note: Distribution yield simply measures the level of distributions and is not a",[MFR FEB26] PB Series Funds.pdf
PB SINGAPORE ADVANTAGE-30 EQUITY FUND,PBSGA30EF,Conventional,Equity,Singapore,Capital Growth,5,Incidental,136.05,11.05.2010,Disqualified,40.0,2/5,1.84,1.74,0.10,14.71,11.54,3.17,9.16,13.01,-3.85,7.88,9.69,-1.81,6.09,6.18,-0.09,0.01,0.34,-0.41,-0.19,-0.01,,90.00,,10.00,,,13.80,,,,,,,76.20,,,,,21.80,9.50,33.30,21.80,3.60,,,,,,,Oversea-Chinese Banking Corporation Limited | DBS Group Holdings Limited | United Overseas Bank Limited | CSE Global Limited | Sea Limited - ADR,"Financial (33.3%) | Industrial (21.8%) | Communications (21.8%) | Technology (9.5%) | Consumer, Cyclical (3.6%)",9.3,Moderate,Equity Singapore ASEAN,"2022 0.80 30.06.22 3.4 ThebenchmarkforPBSGA30EFistheStraitsTimesIndex(priorto30April2016), MSCI Singapore Index (30 April 2016 to 29 April 2021), S&P Singapore 2023 1.00 30.06.23 4.0 LargeMidCap 10% Capped Index (w.e.f. 30 April 2021). Note: Distribution yield simply measures the level of distributions and is not a UnderlyingindexdataaresourcedfromS&PDowJonesIndices,LLCandLipper measure of fund performance. and expressed in Ringgit terms.",[MFR FEB26] PB Series Funds.pdf
